date,ticker,Open,High,Low,Close,Volume,Return_1d,LogRet_1d,Vol_7,Vol_21,SMA_7,SMA_21,RSI_14,MACD,MACD_Signal,Nw_SP500_active_k,Nw_SP500_active_rl,Nw_SP500_burst_day,Nw_SP500_count_items,Nw_SP500_ewma3_s,Nw_SP500_ewma7_s,Nw_SP500_mean_p_neg,Nw_SP500_mean_p_neu,Nw_SP500_mean_p_pos,Nw_SP500_mean_s,Nw_SP500_median_s,Nw_SP500_p_neg_share,Nw_SP500_p_neu_share,Nw_SP500_p_pos_share,Nw_SP500_q10_s,Nw_SP500_q90_s,Nw_SP500_std_s,Nw_SP500_unique_authors,Nw_SP500_z_mean_s,Nw_SP500_zero_day,Rd_active_k,Rd_active_rl,Rd_burst_day,Rd_count_items,Rd_ewma3_s,Rd_ewma7_s,Rd_mean_p_neg,Rd_mean_p_neu,Rd_mean_p_pos,Rd_mean_s,Rd_median_s,Rd_p_neg_share,Rd_p_neu_share,Rd_p_pos_share,Rd_q10_s,Rd_q90_s,Rd_std_s,Rd_unique_authors,Rd_z_mean_s,Rd_zero_day,Tw_active_k,Tw_active_rl,Tw_burst_day,Tw_count_items,Tw_ewma3_s,Tw_ewma7_s,Tw_mean_p_neg,Tw_mean_p_neu,Tw_mean_p_pos,Tw_mean_s,Tw_median_s,Tw_p_neg_share,Tw_p_neu_share,Tw_p_pos_share,Tw_q10_s,Tw_q90_s,Tw_std_s,Tw_unique_authors,Tw_z_mean_s,Tw_zero_day,Target
2021-02-03,AMD,88.5999984741211,89.4800033569336,87.33999633789062,87.88999938964844,32312900.0,-0.010916061377903352,-0.010976078744389994,0.028878715071676643,0.02666674235424357,88.73142787388393,91.14285677955264,46.28109926995113,-1.180353951528005,-0.7528575972467924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,-0.0630036129887836,-0.0187886363521102,0.1320494189858436,0.8331648111343384,0.0347857642918824,-0.0972636546939611,-0.0972636546939611,0.0,1.0,0.0,-0.1050986390560864,-0.0894286703318357,0.0138504264323735,0.0,-0.3664150796178204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.83999633789062
2021-02-04,AMD,88.22000122070312,88.5999984741211,87.05999755859375,87.83999633789062,30791600.0,-0.0005689276607697691,-0.0005690895615204639,0.02836811550887884,0.026616700300380994,87.74999891008649,90.90809486025856,46.16917341584898,-1.2239566956198047,-0.8470774169213948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0347668008548983,-0.0157239744443359,0.03457847610116,0.9373731017112732,0.0280484873801469,-0.006529988721013,-0.006529988721013,0.0,1.0,0.0,-0.006529988721013,-0.006529988721013,0.0,0.0,0.3813284654037294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,87.9000015258789
2021-02-05,AMD,88.1500015258789,88.36000061035156,86.87999725341797,87.9000015258789,30268700.0,0.0006831191995666508,0.0006828859798515552,0.01596399978440225,0.026043815698858552,87.61571393694196,90.79238056001209,46.336891368318845,-1.239383426614367,-0.9255386188599893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0038067252210263,-0.0050046432300405,0.0316933318972587,0.9094600081443788,0.0588466823101043,0.0271533504128456,0.0271533504128456,0.0,1.0,0.0,0.0271533504128456,0.0271533504128456,0.0,0.0,0.6441243136220788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.47000122070312
2021-02-08,AMD,88.30999755859375,91.98999786376952,87.9800033569336,91.47000122070312,47639900.0,0.04061433029410311,0.039811240963275374,0.02092734418069403,0.024897888252630184,88.18000030517578,90.61666615804036,55.266723147960356,-0.9525595686712762,-0.9309428088222468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,0.0978888294586795,0.0461426136120659,0.0246938336640596,0.7510279466708502,0.224278217802445,0.1995843841383854,0.1990378047339618,0.0,0.8333333333333334,0.1666666666666666,-0.0089826788753271,0.4086980265565216,0.2085648276942674,0.0,2.2148588128201827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90.91000366210938
2021-02-09,AMD,91.38999938964844,93.3000030517578,90.5500030517578,90.91000366210938,37596400.0,-0.006122199093914538,-0.006141016597100091,0.018086947165715437,0.024898121312280957,88.93285805838448,90.44190434047154,53.75562049580928,-0.7616568120661071,-0.8970856094710189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0075264357532432,0.0063715349677579,0.1602643579244613,0.7924129366874695,0.0473226569592952,-0.112941700965166,-0.112941700965166,0.0,1.0,0.0,-0.112941700965166,-0.112941700965166,0.0,0.0,-0.8657892341783318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.3499984741211
2021-02-10,AMD,91.5,93.2699966430664,90.45999908447266,92.3499984741211,42441300.0,0.015839783896212767,0.015715643705901172,0.017261152085777855,0.024308035094702782,89.6028573172433,90.20857093447731,57.01061989266619,-0.4885378945418637,-0.8153760664851879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.049917559673122,0.0316190400006903,0.0184933692216873,0.8556516766548157,0.1258549243211746,0.1073615550994873,0.1073615550994873,0.0,1.0,0.0,0.1073615550994873,0.1073615550994873,0.0,0.0,0.9570022092456127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,92.66000366210938
2021-02-11,AMD,92.9000015258789,93.6500015258789,91.33000183105467,92.66000366210938,35571000.0,0.0033568510353050307,0.003351229388043997,0.017086172127477223,0.024012146814597072,90.14571489606585,90.07999965122768,57.70088505343145,-0.2442586946529417,-0.7011525921187387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.104027345112081,0.0632485626382777,0.0108634056523442,0.8201361298561096,0.1690005362033844,0.1581371305510401,0.1581371305510401,0.0,1.0,0.0,0.1581371305510401,0.1581371305510401,0.0,0.0,1.2650852249392954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,93.7699966430664
2021-02-12,AMD,92.75,94.22000122070312,91.9000015258789,93.7699966430664,38538400.0,0.01197920286086629,0.011908020121367713,0.015407508485785757,0.02261265394773412,90.98571450369698,90.17476145426433,60.16710922929292,0.03845816635806898,-0.5532304404233772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.095000533986149,0.0689298526937625,0.0176574531942605,0.8787114024162292,0.1036311760544776,0.0859737228602171,0.0859737228602171,0.0,1.0,0.0,0.0859737228602171,0.0859737228602171,0.0,0.0,0.5505856075504438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,91.45999908447266
2021-02-16,AMD,93.9000015258789,94.0,90.75,91.45999908447266,35105900.0,-0.024634719433623387,-0.024943231412109412,0.020051189834304532,0.023184611751299523,91.5028577532087,90.20666612897601,53.21365880374977,0.07524840132093402,-0.427534672074515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,0.2209380384616308,0.1384162752546001,0.0259790187701582,0.5754055327602795,0.398615440087659,0.3468755429371126,0.1790428888052702,0.0,0.5714285714285714,0.4285714285714285,-0.0091675363481044,0.7966507778540253,0.3851544264236921,0.0,2.6261182246356496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.94000244140625
2021-02-17,AMD,90.55999755859376,90.95999908447266,88.56999969482422,89.94000244140625,32245500.0,-0.0166192505825693,-0.016758899732375987,0.02179636212664232,0.02256645119375241,91.7942864554269,90.28904724121094,49.185607033453124,-0.018038165620254176,-0.34563537078366285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.5605499358655761,0.3288526647583304,0.0191319268196821,0.0408500283956527,0.9400179982185364,0.9001618332695215,0.9001618332695215,0.0,0.0,1.0,0.9001618332695215,0.9001618332695215,0.0,0.0,5.643374939901432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,88.63999938964844
2021-02-18,AMD,89.08999633789062,89.5999984741211,87.30999755859375,88.63999938964844,35624900.0,-0.014454114036796195,-0.014559592374155272,0.01533857393061799,0.022600921404462737,91.39000047956195,90.25047592889695,45.97988246134036,-0.19462431575006178,-0.31543315977694264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,89.58000183105469
2021-02-19,AMD,89.75,90.41999816894533,88.69000244140625,89.58000183105469,29548300.0,0.010604720756756114,0.01054888510635621,0.016305774967789444,0.022655467158583967,91.2000002179827,90.28999982561383,48.5891136148724,-0.2557713974119622,-0.3035008073039466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.3347038331345593,0.2738539311696334,0.0208919551223516,0.8493583798408508,0.1297496855258941,0.1088577304035425,0.1088577304035425,0.0,1.0,0.0,0.1088577304035425,0.1088577304035425,0.0,0.0,-0.0193141537968843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,85.37000274658203
2021-02-22,AMD,88.1500015258789,88.30000305175781,85.20999908447266,85.37000274658203,36930200.0,-0.04699708638555955,-0.04813731802469601,0.021657014903445387,0.023879141298867188,90.2028579711914,89.99666668119885,39.408278334356424,-0.6366042641715239,-0.3701214986774621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84.73999786376953
