date,ticker,Open,High,Low,Close,Volume,Return_1d,LogRet_1d,Vol_7,Vol_21,SMA_7,SMA_21,RSI_14,MACD,MACD_Signal,Nw_SP500_active_k,Nw_SP500_active_rl,Nw_SP500_burst_day,Nw_SP500_count_items,Nw_SP500_ewma3_s,Nw_SP500_ewma7_s,Nw_SP500_mean_p_neg,Nw_SP500_mean_p_neu,Nw_SP500_mean_p_pos,Nw_SP500_mean_s,Nw_SP500_median_s,Nw_SP500_p_neg_share,Nw_SP500_p_neu_share,Nw_SP500_p_pos_share,Nw_SP500_q10_s,Nw_SP500_q90_s,Nw_SP500_std_s,Nw_SP500_unique_authors,Nw_SP500_z_mean_s,Nw_SP500_zero_day,Rd_active_k,Rd_active_rl,Rd_burst_day,Rd_count_items,Rd_ewma3_s,Rd_ewma7_s,Rd_mean_p_neg,Rd_mean_p_neu,Rd_mean_p_pos,Rd_mean_s,Rd_median_s,Rd_p_neg_share,Rd_p_neu_share,Rd_p_pos_share,Rd_q10_s,Rd_q90_s,Rd_std_s,Rd_unique_authors,Rd_z_mean_s,Rd_zero_day,Tw_active_k,Tw_active_rl,Tw_burst_day,Tw_count_items,Tw_ewma3_s,Tw_ewma7_s,Tw_mean_p_neg,Tw_mean_p_neu,Tw_mean_p_pos,Tw_mean_s,Tw_median_s,Tw_p_neg_share,Tw_p_neu_share,Tw_p_pos_share,Tw_q10_s,Tw_q90_s,Tw_std_s,Tw_unique_authors,Tw_z_mean_s,Tw_zero_day,Target
2021-02-03,AMZN,171.25050354003906,171.6999969482422,165.43099975585938,165.62649536132812,141776000.0,-0.019961565909300982,-0.020163489626646047,0.023353881592565233,0.018905701862788855,164.5567125592913,161.07071358816964,63.88324613541977,1.8519556568963935,1.2133520821913708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,-0.0387837537952388,-0.1262228916893946,0.2252802589908241,0.6565504729747772,0.1181692827492952,-0.1071109762415289,-0.0080052800476551,0.2,0.8,0.0,-0.4792472884058952,0.238416239246726,0.3608560012799112,0.0,-0.1094924988813264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.5500030517578
2021-02-04,AMZN,166.5,167.35000610351562,163.8874969482422,166.5500030517578,73414000.0,0.005575845147329783,0.005560357666634097,0.02314197662635529,0.018835645266490442,164.59149823869978,161.3385467529297,64.97671763751566,1.940969430916482,1.358875551936393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,-0.1545598239211055,-0.162251142278789,0.3462237107257048,0.5910801688830057,0.062696079413096,-0.2703358940469721,-0.122350338846445,0.3333333333333333,0.6666666666666666,0.0,-0.598362035229802,-0.0015039749443531,0.3944374035710766,0.0,-0.6791221018920339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,167.6074981689453
2021-02-05,AMZN,165.9499969482422,168.85000610351562,165.135498046875,167.6074981689453,72416000.0,0.006349415177487883,0.006329342562379381,0.019370556141171207,0.01781781063085598,165.44556971958704,161.84752255394346,66.23726429859582,2.0729488423498594,1.5016902100190865,0.0,1.0,1.0,1.0,0.0599269189685583,0.003654000274837,0.0084493644535541,0.8106285333633423,0.180922120809555,0.1724727563560009,0.1724727563560009,0.0,1.0,0.0,0.1724727563560009,0.1724727563560009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.14700317382812
2021-02-08,AMZN,167.9250030517578,168.25,165.1999969482422,166.14700317382812,65148000.0,-0.008713780773966562,-0.00875196775883591,0.020071898978081707,0.01797045990006735,166.05499921526228,162.23033214750745,62.871657498744995,2.0362214432373094,1.608596456662731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,-0.1153182364321158,-0.1407075189448733,0.1989300837740301,0.5465843323618174,0.2544855521991848,-0.0760766489431262,0.0155740482732653,0.25,0.5,0.25,-0.4731798453256487,0.2477059896662831,0.4307593554092512,0.0,0.1585614569443028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.25
2021-02-09,AMZN,165.62449645996094,166.89999389648438,164.89199829101562,165.25,44070000.0,-0.00539885256244832,-0.005413479034809043,0.019649246632223782,0.018021592353369364,166.7607138497489,162.52152288527716,60.82738527556124,1.91268580393222,1.669414326116629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,-0.0457869235086643,-0.0995945418549582,0.0258440263569355,0.9245675802230836,0.0495884157717227,0.0237443894147872,0.0237443894147872,0.0,1.0,0.0,0.0237443894147872,0.0237443894147872,0.0,0.0,0.5774218660885131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,164.32899475097656
2021-02-10,AMZN,165.6999969482422,165.8975067138672,162.6999969482422,164.32899475097656,63032000.0,-0.005573405440383872,-0.005588994815407311,0.010765827728501124,0.017296017048161166,166.3585706438337,162.93192763555618,58.71634912305665,1.7206311287262963,1.6796576866385626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.10650634765625
2021-02-11,AMZN,164.60000610351562,164.60000610351562,162.4029998779297,163.10650634765625,46028000.0,-0.007439273910078148,-0.007467083315264134,0.009041139018520983,0.017434331527662095,165.51664297921317,163.2683563232422,55.94114336942768,1.4530321672177138,1.6343325827543929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0411618879234689,-0.042668231552318,0.1087961122393608,0.6542970538139343,0.236906811594963,0.1281106993556022,0.1281106993556022,0.0,1.0,0.0,0.1281106993556022,0.1281106993556022,0.0,0.0,1.0063878530087158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.885498046875
2021-02-12,AMZN,162.5,164.0124969482422,161.66549682617188,163.885498046875,46706000.0,0.004775969497859078,0.004764600739062708,0.006715953005127962,0.017222547368540703,165.26792907714844,163.5345945812407,57.325281933867714,1.2889578780279578,1.565257641809106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,163.44749450683594
2021-02-16,AMZN,162.70249938964844,165.4149932861328,162.67950439453125,163.44749450683594,51494000.0,-0.0026726192693009576,-0.0026761970923745437,0.005948517908371958,0.016962549783346183,164.82471357073103,163.87145124162947,56.255148105736296,1.1107802137533724,1.4743621561979594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0531568993433513,-0.0157131959734301,0.0143030160106718,0.9062421023845671,0.0794549267739057,0.0651519107632338,0.0651519107632338,0.0,1.0,0.0,0.0481004065833985,0.0822034149430691,0.0301430855874807,0.0,0.5964550453664303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,165.4320068359375
2021-02-17,AMZN,163.17999267578125,166.04550170898438,162.97500610351562,165.4320068359375,65950000.0,0.012141589169594624,0.012068471325383356,0.0075721502866570286,0.016947376940200484,164.51392909458704,164.35809471493675,59.90706285524782,1.1168325404892983,1.4028562330562273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,166.4114990234375
